Misfits;0;1;Splyce;PRE MSI
G2 Esports;0;1;H2K;PRE MSI
Fnatic;1;0;Roccat;PRE MSI
Giants;1;0;Misfits;PRE MSI
H2K;0;1;Splyce;PRE MSI
Roccat;1;0;Team Vitality;PRE MSI
Fnatic;1;0;Unicorns Of Love;PRE MSI
FC Schalke 04;1;0;G2 Esports;PRE MSI
Team Vitality;1;0;Splyce;PRE MSI
FC Schalke 04;0;1;H2K;PRE MSI
Misfits;0;1;Roccat;PRE MSI
Unicorns Of Love;0;1;G2 Esports;PRE MSI
Fnatic;1;0;Giants;PRE MSI
Giants;0;1;Splyce;PRE MSI
Roccat;0;1;H2K;PRE MSI
Unicorns Of Love;0;1;Misfits;PRE MSI
G2 Esports;1;0;Team Vitality;PRE MSI
Fnatic;1;0;FC Schalke 04;PRE MSI
Splyce;0;1;G2 Esports;PRE MSI
Hall of Fame;0;2;EVOS Esports;PRE MSI
Young Generation;2;1;FTV Esports;PRE MSI
Ultimate;2;1;Cherry Gaming;PRE MSI
GIGABYTE Marines;2;0;FFQTV Gaming;PRE MSI
Young Generation;2;0;Cherry Gaming;PRE MSI
EVOS Esports;2;0;Ultimate;PRE MSI
FTV Esports;0;2;GIGABYTE Marines;PRE MSI
FFQTV Gaming;2;0;Hall of Fame;PRE MSI
FTV Esports;0;2;Ultimate;PRE MSI
FFQTV Gaming;1;2;Cherry Gaming;PRE MSI
Young Generation;1;2;EVOS Esports;PRE MSI
GIGABYTE Marines;2;0;Hall of Fame;PRE MSI
EVOS Esports;2;0;FFQTV Gaming;PRE MSI
Ultimate;1;2;GIGABYTE Marines;PRE MSI
Cherry Gaming;0;2;FTV Esports;PRE MSI
Hall of Fame;0;2;Young Generation;PRE MSI
Cherry Gaming;2;0;Hall of Fame;PRE MSI
FFQTV Gaming;2;1;FTV Esports;PRE MSI
Ultimate;2;1;Young Generation;PRE MSI
EVOS Esports;2;0;GIGABYTE Marines;PRE MSI
Cherry Gaming;0;2;EVOS Esports;PRE MSI
GIGABYTE Marines;0;2;Young Generation;PRE MSI
Hall of Fame;0;2;FTV Esports;PRE MSI
Ultimate;2;1;FFQTV Gaming;PRE MSI
Hall of Fame;0;2;Ultimate;PRE MSI
GIGABYTE Marines;2;0;Cherry Gaming;PRE MSI
FTV Esports;1;2;EVOS Esports;PRE MSI
Young Generation;2;0;FFQTV Gaming;PRE MSI
Cherry Gaming;2;0;Young Generation;PRE MSI
Ultimate;1;2;EVOS Esports;PRE MSI
GIGABYTE Marines;2;1;FTV Esports;PRE MSI
Hall of Fame;1;2;FFQTV Gaming;PRE MSI
EVOS Esports;1;2;Cherry Gaming;PRE MSI
FFQTV Gaming;2;1;Ultimate;PRE MSI
FTV Esports;2;0;Hall of Fame;PRE MSI
Young Generation;1;2;GIGABYTE Marines;PRE MSI
Ultimate;2;0;FTV Esports;PRE MSI
Hall of Fame;0;2;GIGABYTE Marines;PRE MSI
Cherry Gaming;2;0;FFQTV Gaming;PRE MSI
EVOS Esports;1;2;Young Generation;PRE MSI
FTV Esports;2;1;Cherry Gaming;PRE MSI
GIGABYTE Marines;0;2;Ultimate;PRE MSI
Young Generation;0;2;Hall of Fame;PRE MSI
FFQTV Gaming;0;2;EVOS Esports;PRE MSI
Cherry Gaming;2;1;GIGABYTE Marines;PRE MSI
Ultimate;2;0;Hall of Fame;PRE MSI
EVOS Esports;2;0;FTV Esports;PRE MSI
FFQTV Gaming;2;1;Young Generation;PRE MSI
Hall of Fame;0;2;Cherry Gaming;PRE MSI
Young Generation;2;1;Ultimate;PRE MSI
FTV Esports;2;0;FFQTV Gaming;PRE MSI
GIGABYTE Marines;0;2;EVOS Esports;PRE MSI
Cherry Gaming;1;2;Ultimate;PRE MSI
EVOS Esports;2;0;Hall of Fame;PRE MSI
FTV Esports;0;2;Young Generation;PRE MSI
FFQTV Gaming;1;2;GIGABYTE Marines;PRE MSI
Dire Wolves;2;1;Chiefs eSports Club;PRE MSI
Order;2;0;Tectonic;PRE MSI
Sin Gaming;0;2;Legacy eSports;PRE MSI
Bombers;0;2;Avant Gaming;PRE MSI
Bombers;0;2;Order;PRE MSI
Avant Gaming;0;2;Chiefs eSports Club;PRE MSI
Dire Wolves;2;0;Sin Gaming;PRE MSI
Legacy eSports;2;0;Tectonic;PRE MSI
Chiefs eSports Club;2;0;Tectonic;PRE MSI
Order;2;0;Sin Gaming;PRE MSI
Avant Gaming;2;0;Legacy eSports;PRE MSI
Dire Wolves;2;0;Bombers;PRE MSI
Avant Gaming;2;1;Tectonic;PRE MSI
Chiefs eSports Club;2;1;Legacy eSports;PRE MSI
Bombers;1;2;Sin Gaming;PRE MSI
Dire Wolves;2;1;Order;PRE MSI
Legacy eSports;1;2;Avant Gaming;PRE MSI
Bombers;0;2;Dire Wolves;PRE MSI
Order;2;0;Bombers;PRE MSI
Chiefs eSports Club;2;0;Avant Gaming;PRE MSI
Sin Gaming;0;2;Dire Wolves;PRE MSI
Tectonic;0;2;Legacy eSports;PRE MSI
Tectonic;0;2;Chiefs eSports Club;PRE MSI
Sin Gaming;0;2;Order;PRE MSI
Avant Gaming;0;2;Order;PRE MSI
Legacy eSports;1;2;Dire Wolves;PRE MSI
Sin Gaming;0;2;Chiefs eSports Club;PRE MSI
Bombers;2;0;Tectonic;PRE MSI
Tectonic;0;2;Avant Gaming;PRE MSI
Sin Gaming;1;2;Bombers;PRE MSI
Legacy eSports;0;2;Chiefs eSports Club;PRE MSI
Order;1;2;Dire Wolves;PRE MSI
Order;1;2;Legacy eSports;PRE MSI
Avant Gaming;2;1;Sin Gaming;PRE MSI
Tectonic;0;2;Dire Wolves;PRE MSI
Chiefs eSports Club;2;0;Bombers;PRE MSI
Legacy eSports;2;0;Bombers;PRE MSI
Dire Wolves;2;0;Avant Gaming;PRE MSI
Chiefs eSports Club;1;2;Order;PRE MSI
Tectonic;1;2;Sin Gaming;PRE MSI
Team Liquid;1;0;Team SoloMid;PRE MSI
